fast_ma,slow_ma,sl_mult,tp_mult,atr_thresh,pnl,sharpe,max_drawdown,win_rate
10,200,1.5,2.0,1.0,157847.93999999994,6.770999339250805,-35344.80999999997,43.64879453040662
10,200,1.5,2.0,2.0,39699.11999999998,2.412742315964022,-22816.70999999986,43.15452361889512
20,50,1.0,1.0,1.0,-1062.6699999993834,-1.0506775902678744,-26781.66999999963,37.83700030988534
20,50,1.0,1.0,2.0,-8680.06999999922,-0.9724839392529999,-27596.419999999594,37.8344812013097
20,50,1.0,1.5,1.0,8587.800000000623,-1.0877260144487921,-27498.789999999517,35.83128583128583
20,50,1.0,1.5,2.0,-7909.199999999471,-1.768252606499624,-28443.339999999433,35.92044264991775
20,50,1.0,2.0,1.0,27968.66000000034,0.42562428419159193,-24624.40999999962,33.59261059795819
20,50,1.0,2.0,2.0,6737.060000000376,-0.4476466912762177,-24959.94999999963,33.57834349229115
20,50,1.5,1.0,1.0,28243.570000000283,0.6157104784376308,-20129.639999999723,48.01635991820041
20,50,1.5,1.0,2.0,25925.860000000368,0.7702303060667167,-19392.90999999977,47.815138498000294
20,50,1.5,1.5,1.0,15543.300000000152,-0.40606199335261267,-22403.29999999994,45.467032967032964
20,50,1.5,1.5,2.0,2765.120000000077,-0.9186998435692458,-22349.079999999914,45.37798275516343
20,50,1.5,2.0,1.0,41915.62000000006,2.113051488722703,-18905.029999999897,42.3678084469571
20,50,1.5,2.0,2.0,29360.310000000012,1.2024973292769723,-19608.77999999992,42.119366626065776
20,100,1.0,1.0,1.0,-1210.7099999996863,-1.5045823679210908,-22555.919999999718,37.517697026899484
20,100,1.0,1.0,2.0,-17569.35999999959,-1.8417821890505468,-21781.119999999755,37.60192948202596
20,100,1.0,1.5,1.0,57380.310000000376,1.0859032500857657,-20068.369999999966,35.92415086476349
20,100,1.0,1.5,2.0,-8870.15999999968,-1.081063879643316,-21879.47999999995,35.76675849403122
20,100,1.0,2.0,1.0,40039.55000000001,0.49658164106909986,-19171.649999999932,32.83582089552239
20,100,1.0,2.0,2.0,-6482.149999999949,-0.9335152311586676,-17447.08999999988,32.7178729689808
20,100,1.5,1.0,1.0,58568.2200000001,2.28243311406688,-15537.799999999996,48.50449696716168
20,100,1.5,1.0,2.0,22895.22000000032,1.0821201504265157,-13248.669999999947,48.67175572519084
20,100,1.5,1.5,1.0,70651.12000000004,2.9182064626238,-16335.80999999999,46.213203772506425
20,100,1.5,1.5,2.0,11698.679999999968,0.5799676195883885,-21513.389999999934,46.116708648194795
20,100,1.5,2.0,1.0,105187.34999999992,4.939517597786717,-25148.50999999998,43.078004216444135
20,100,1.5,2.0,2.0,29755.720000000147,1.9381961870378328,-25587.90000000001,42.71265560165975
20,200,1.0,1.0,1.0,32437.710000000636,0.564257560970129,-26145.679999999724,38.49944364965825
20,200,1.0,1.0,2.0,-10509.039999999412,-0.33454064596968064,-31206.639999999697,38.1508909974543
20,200,1.0,1.5,1.0,84309.82000000063,1.8974589180288852,-26418.289999999768,36.72734970364098
20,200,1.0,1.5,2.0,-467.38999999963744,-0.27225329950616567,-28897.999999999854,36.469492314857945
20,200,1.0,2.0,1.0,45838.9000000001,0.9468216701988639,-22914.759999999747,33.222760908395
20,200,1.0,2.0,2.0,-585.6499999998887,-0.6835507963596562,-22329.019999999786,32.948742197843764
20,200,1.5,1.0,1.0,77210.22000000009,3.1571169954649583,-18974.40999999998,49.48192006766759
20,200,1.5,1.0,2.0,28520.710000000174,1.4755169124032141,-18515.200000000008,48.94606323620583
20,200,1.5,1.5,1.0,82930.58,3.6929172555156655,-21827.55000000002,47.33002626203677
20,200,1.5,1.5,2.0,30986.909999999913,1.7374167349856953,-24998.210000000032,46.93086366573336
20,200,1.5,2.0,1.0,105655.1300000001,5.075430817896218,-25249.839999999982,43.783979702790866
20,200,1.5,2.0,2.0,43124.4699999999,2.3993449107407514,-27621.269999999826,43.19399785637727
30,50,1.0,1.0,1.0,-17393.849999999908,-2.072058430450574,-24333.619999999915,37.343629343629345
30,50,1.0,1.0,2.0,-17603.069999999796,-1.975047128154509,-24635.539999999983,37.3675907144467
30,50,1.0,1.5,1.0,-10324.619999999835,-2.056347606215042,-24543.429999999953,35.55152248437185
30,50,1.0,1.5,2.0,-15796.959999999803,-2.420035375907744,-24852.949999999877,35.47766932860101
30,50,1.0,2.0,1.0,-4470.470000000005,-1.0934678212213969,-22049.169999999882,33.150226892763314
30,50,1.0,2.0,2.0,-11558.069999999989,-1.7409469532791697,-22760.1299999999,32.876230661040786
30,50,1.5,1.0,1.0,4655.050000000028,-0.5763810980141427,-17953.699999999997,47.775746496039
30,50,1.5,1.0,2.0,7430.170000000075,-0.2839956389372507,-18647.689999999995,47.63733018310691
30,50,1.5,1.5,1.0,-900.7700000001205,-1.2575629579642513,-20279.49000000014,45.383157324668296
30,50,1.5,1.5,2.0,-4499.030000000072,-1.3034091227769493,-25893.740000000096,45.33306741124851
30,50,1.5,2.0,1.0,14144.369999999959,0.5642434896926561,-22828.749999999913,42.47612775765558
30,50,1.5,2.0,2.0,14424.60999999989,0.2006495016969593,-25097.47999999996,42.07346544224263
30,100,1.0,1.0,1.0,-12315.379999999668,-1.9235816081501438,-22721.379999999746,37.64168765743073
30,100,1.0,1.0,2.0,-18586.359999999586,-1.9406779668573817,-22603.04999999959,37.5689972401104
30,100,1.0,1.5,1.0,2504.550000000436,-1.3271808076591645,-21845.75999999967,36.22673080945409
