entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason,commission,slippage
2025-03-19 13:10:00,2025-03-19 13:45:00,SPY,BUY,1,563.67,562.97,-2.7563319999999316,StopLoss,2.0,0.05633199999999999
2025-03-19 15:30:00,2025-03-20 09:30:00,SPY,BUY,1,568.04,564.4,-5.696621999999986,StopLoss,2.0,0.056622000000000006
2025-03-20 11:35:00,2025-03-20 12:10:00,SPY,BUY,1,568.46,568.0,-2.5168230000000364,StopLoss,2.0,0.056823
2025-03-21 14:30:00,2025-03-21 15:15:00,SPY,BUY,1,562.49,562.08,-2.466228499999968,TIME,2.0,0.05622850000000001
2025-03-24 11:40:00,2025-03-24 12:00:00,SPY,BUY,1,573.35,573.97,-1.4373659999999955,TakeProfit,2.0,0.05736600000000001
2025-03-24 13:05:00,2025-03-24 13:50:00,SPY,BUY,1,572.78,573.03,-1.8072905,TIME,2.0,0.057290499999999994
2025-03-25 11:35:00,2025-03-25 11:50:00,SPY,BUY,1,575.45,574.8,-2.707512500000091,StopLoss,2.0,0.0575125
2025-03-25 11:55:00,2025-03-25 12:30:00,SPY,BUY,1,574.76,574.3,-2.5174530000000366,StopLoss,2.0,0.057453
2025-03-27 11:35:00,2025-03-27 12:20:00,SPY,BUY,1,568.68,569.25,-1.4868964999999499,TIME,2.0,0.05689649999999999
2025-04-01 09:35:00,2025-04-01 10:10:00,SPY,BUY,1,557.05,554.31,-4.795568000000009,StopLoss,2.0,0.05556799999999999
2025-04-01 12:30:00,2025-04-01 13:15:00,SPY,BUY,1,560.39,559.77,-2.6760080000000044,TIME,2.0,0.056007999999999995
2025-04-02 11:50:00,2025-04-02 12:10:00,SPY,BUY,1,561.84,563.54,-0.3562690000000682,TakeProfit,2.0,0.056269000000000007
2025-04-02 13:35:00,2025-04-02 13:45:00,SPY,BUY,1,565.27,563.89,-3.4364579999999956,StopLoss,2.0,0.056457999999999994
2025-04-02 13:50:00,2025-04-02 14:10:00,SPY,BUY,1,563.84,563.02,-2.87634300000005,StopLoss,2.0,0.056343000000000004
2025-04-07 14:55:00,2025-04-07 15:40:00,SPY,BUY,1,503.21,501.5,-3.7602354999999794,TIME,2.0,0.0502355
2025-04-08 10:45:00,2025-04-08 11:05:00,SPY,BUY,1,520.83,517.71,-5.171927000000005,StopLoss,2.0,0.051927
2025-04-08 11:15:00,2025-04-08 12:00:00,SPY,BUY,1,516.04,516.44,-1.651623999999909,TIME,2.0,0.051624
2025-04-09 15:00:00,2025-04-09 15:25:00,SPY,BUY,1,534.38,540.49,4.056256500000013,TakeProfit,2.0,0.05374349999999999
2025-04-10 09:35:00,2025-04-10 10:20:00,SPY,BUY,1,531.33,529.93,-3.453063000000091,TIME,2.0,0.053063
