lookback,sl_mult,tp_mult,atr_thresh,pnl,sharpe,max_drawdown,win_rate
20,2.0,1.5,2.0,-756.9560684999994,-54.98766571684502,-759.0146370000002,40.53333333333333
20,2.0,1.5,3.0,-324.22941999999966,-52.339535255503556,-326.2879885000002,38.46153846153847
20,2.0,1.5,5.0,-54.93194549999997,-33.05627547985303,-57.11348750000252,50.0
20,2.0,2.0,1.0,-1792.5284929999993,-76.27471762980977,-1790.4263735000022,29.508196721311474
20,2.0,2.0,2.0,-736.08375,-55.174144659197864,-733.5685349999985,35.714285714285715
20,2.0,2.0,3.0,-322.2515449999997,-53.37317460509192,-319.7363299999997,32.52032520325203
20,2.0,2.0,5.0,-56.23519499999991,-46.88966417337209,-66.84571250000226,40.0
50,0.5,0.5,1.0,-2353.8093390000004,-181.68715889634962,-2351.9172300000027,1.6088060965283657
50,0.5,0.5,2.0,-905.2025465,-210.42816405863445,-902.6873315000012,2.643171806167401
50,0.5,0.5,3.0,-293.9832715,-239.43256874040569,-291.4680565000017,4.054054054054054
50,0.5,0.5,5.0,-61.776072000000006,-229.49703867515635,-59.74807900000087,0.0
50,0.5,1.0,1.0,-2199.6064210000004,-168.3828886108679,-2199.9481915000033,3.571428571428571
50,0.5,1.0,2.0,-849.1219820000001,-169.55431876382485,-849.0506569999998,5.963302752293578
50,0.5,1.0,3.0,-275.3042174999998,-144.12453983996664,-275.23289250000016,6.338028169014084
50,0.5,1.0,5.0,-48.31200250000005,-83.4411933453544,-46.28400949999923,8.0
50,0.5,1.5,1.0,-2140.9809240000004,-165.8237080369082,-2143.4525880000037,4.520295202952029
50,0.5,1.5,2.0,-841.3409605000002,-163.49450072963938,-843.3995290000021,5.620608899297424
50,0.5,1.5,3.0,-279.58358599999997,-140.68947656962183,-281.6421545000012,5.797101449275362
50,0.5,1.5,5.0,-52.45220950000003,-88.88013293987402,-47.66407849999814,8.0
50,0.5,2.0,1.0,-2135.334119,-163.39879348833065,-2133.2319995000034,4.51552210724365
50,0.5,2.0,2.0,-849.6096940000002,-157.09430986332964,-847.0944789999994,5.238095238095238
50,0.5,2.0,3.0,-302.3602214999999,-138.42260272286785,-299.8450064999997,4.444444444444445
50,0.5,2.0,5.0,-77.70347200000006,-120.28043808367138,-72.9153409999999,4.0
50,1.0,0.5,1.0,-1898.5591004999992,-131.25208755790726,-1898.709762999999,5.857294994675186
50,1.0,0.5,2.0,-741.7862904999995,-107.33445278401196,-741.3138470000013,11.048158640226628
50,1.0,0.5,3.0,-256.4786740000001,-96.65068801725073,-253.96345900000233,17.24137931034483
50,1.0,0.5,5.0,-29.180676000000112,-50.95125895326334,-35.63821050000115,36.36363636363637
50,1.0,1.0,1.0,-1630.5957569999991,-115.160288338426,-1638.9920920000004,12.75820170109356
50,1.0,1.0,2.0,-650.5743744999996,-89.30728215148581,-658.5576140000012,22.78481012658228
50,1.0,1.0,3.0,-213.51451200000002,-70.3136162135416,-218.063029500001,27.722772277227726
50,1.0,1.0,5.0,-42.72846550000002,-59.181452246512094,-47.2043545000015,28.57142857142857
50,1.0,1.5,1.0,-1472.4618744999993,-105.69567536176636,-1486.0409579999978,17.060367454068242
50,1.0,1.5,2.0,-587.8835029999998,-78.16955627353136,-601.0494910000016,24.489795918367346
50,1.0,1.5,3.0,-188.42912300000026,-57.120897912143406,-197.51596749999953,27.659574468085108
50,1.0,1.5,5.0,-24.106360999999993,-41.11063209351233,-33.576867499999935,42.10526315789473
50,1.0,2.0,1.0,-1447.493007999999,-101.05364403590596,-1453.0789030000014,17.076502732240435
50,1.0,2.0,2.0,-572.6699244999996,-71.65190481308537,-578.8007305000028,21.660649819494584
50,1.0,2.0,3.0,-222.98761950000016,-66.44657511633203,-224.08127550000063,20.652173913043477
50,1.0,2.0,5.0,-40.75105300000001,-63.90012227650985,-54.36624149999989,27.77777777777778
50,1.5,0.5,1.0,-1687.8917094999988,-113.28912560805949,-1698.4633839999988,8.432304038004752
50,1.5,0.5,2.0,-673.7207384999995,-89.32672223079129,-683.6693070000001,15.479876160990713
50,1.5,0.5,3.0,-218.90963299999993,-73.84244040373291,-239.08834249999927,23.58490566037736
50,1.5,0.5,5.0,-19.350270500000043,-38.16992925223064,-41.99852850000025,45.0
50,1.5,1.0,1.0,-1481.5456249999997,-94.74953292672204,-1494.2933704999996,18.068965517241377
50,1.5,1.0,2.0,-648.0898004999996,-73.78866577829722,-660.4244504999988,32.97872340425532
50,1.5,1.0,3.0,-244.0125194999999,-70.09617385876103,-265.7018080000016,35.1063829787234
50,1.5,1.0,5.0,-42.22877650000005,-55.04594937948887,-61.961396999999124,36.84210526315789
50,1.5,1.5,1.0,-1267.172586999999,-84.87136087139905,-1284.1530334999989,25.226586102719033
50,1.5,1.5,2.0,-513.3996954999997,-58.2652601809011,-529.9670465000017,37.69230769230769
50,1.5,1.5,3.0,-173.85441049999997,-48.383375627130214,-201.67028550000032,38.372093023255815
50,1.5,1.5,5.0,1.17927600000003,-3.299275944523078,-32.97661799999696,62.5
50,1.5,2.0,1.0,-1203.4906544999994,-81.66319868977297,-1232.4895885000005,25.0
50,1.5,2.0,2.0,-455.9242539999999,-52.61483928483687,-485.6519789999984,33.33333333333333
50,1.5,2.0,3.0,-192.16861449999993,-56.136508852619215,-229.4646700000012,28.04878048780488
50,1.5,2.0,5.0,6.446355000000031,-20.225352726099416,-46.98565299999973,50.0
50,2.0,0.5,1.0,-1632.3239604999985,-103.78847579397261,-1642.8956349999971,9.987515605493133
50,2.0,0.5,2.0,-674.350643999999,-77.06181695752691,-684.2992124999982,18.12297734627832
50,2.0,0.5,3.0,-214.34964449999987,-60.97046673726902,-241.1981670000023,26.21359223300971
50,2.0,0.5,5.0,-31.840894999999996,-44.602168325733146,-54.48915299999862,45.0
50,2.0,1.0,1.0,-1399.1250719999996,-87.57951237041748,-1411.8728174999997,20.765832106038292
50,2.0,1.0,2.0,-620.4711299999991,-67.89636359187249,-632.8057799999988,36.940298507462686
50,2.0,1.0,3.0,-228.15194699999984,-62.224033911772835,-253.9015130000007,39.56043956043956
50,2.0,1.0,5.0,-46.15897300000011,-57.23307005274322,-65.89159350000045,36.84210526315789
50,2.0,1.5,1.0,-1166.7328549999993,-75.42204887941608,-1183.7133015,28.84927066450567
50,2.0,1.5,2.0,-462.89117449999947,-50.96726782005165,-479.45852549999836,43.20987654320987
50,2.0,1.5,3.0,-154.4796165,-41.29019911444817,-194.12473850000242,42.68292682926829
50,2.0,1.5,5.0,-2.750920500000035,-6.501317599362457,-36.90681449999829,62.5
50,2.0,2.0,1.0,-1116.6101509999994,-73.90539692064137,-1145.609085,29.116117850953206
50,2.0,2.0,2.0,-416.6401374999998,-49.112191164608475,-445.22597600000154,38.63636363636363
50,2.0,2.0,3.0,-176.37396649999974,-48.84706220342996,-223.15733199999886,33.33333333333333
50,2.0,2.0,5.0,-4.884211499999958,-29.49615693467725,-58.31621950000044,50.0
100,0.5,0.5,1.0,-1726.3131640000004,-183.5651154688967,-1724.421054999999,1.2850467289719625
100,0.5,0.5,2.0,-641.5569585000002,-209.16990936223056,-639.5455734999996,1.89873417721519
100,0.5,0.5,3.0,-220.42648000000003,-231.14775484005716,-218.41763199999696,4.545454545454546
100,0.5,0.5,5.0,-55.669549,-218.38792232739416,-53.64155599999867,0.0
