entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason,commission,slippage
2018-12-03 11:00:00,2018-12-04 12:00:00,SPY,SELL,1,277.68,272.99,2.6624664999999976,TakeProfit,2.0,0.027533500000000002
2018-12-04 13:00:00,2018-12-06 09:30:00,SPY,SELL,1,272.24,265.07,5.1431345000000155,TakeProfit,2.0,0.026865499999999997
2018-12-06 10:00:00,2018-12-06 15:00:00,SPY,SELL,1,264.27,269.96,-7.716711499999998,StopLoss,2.0,0.026711500000000003
2018-12-07 09:30:00,2018-12-07 12:00:00,SPY,BUY,1,270.36,266.27,-6.116831500000032,StopLoss,2.0,0.0268315
2018-12-07 13:00:00,2018-12-10 10:00:00,SPY,SELL,1,264.4,260.49,1.8837554999999682,TakeProfit,2.0,0.0262445
2018-12-10 13:00:00,2018-12-11 09:30:00,SPY,BUY,1,263.02,267.11,2.063493500000032,TakeProfit,2.0,0.0265065
2018-12-11 11:00:00,2018-12-12 13:00:00,SPY,SELL,1,265.62,268.22,-4.6266920000000225,TIME,2.0,0.026692
2018-12-12 14:00:00,2018-12-14 09:30:00,SPY,SELL,1,266.81,263.66,1.1234764999999773,TIME,2.0,0.026523500000000002
2018-12-14 11:00:00,2018-12-17 09:30:00,SPY,SELL,1,261.24,258.45,0.7640155000000205,TakeProfit,2.0,0.025984500000000004
2018-12-17 11:00:00,2018-12-17 13:00:00,SPY,BUY,1,260.35,256.39,-5.9858370000000365,StopLoss,2.0,0.025837
2018-12-17 14:00:00,2018-12-19 09:30:00,SPY,SELL,1,255.88,256.91,-3.0556395000000296,TIME,2.0,0.0256395
2018-12-19 10:00:00,2018-12-19 14:00:00,SPY,BUY,1,257.64,252.22,-7.4454929999999875,StopLoss,2.0,0.025493000000000002
2018-12-19 15:00:00,2018-12-20 11:00:00,SPY,SELL,1,251.2,247.67,1.5050565000000011,TakeProfit,2.0,0.0249435
2018-12-21 11:00:00,2018-12-21 15:00:00,SPY,SELL,1,245.28,240.71,2.545700499999993,TakeProfit,2.0,0.0242995
2018-12-24 09:30:00,2018-12-26 14:00:00,SPY,SELL,1,237.38,241.4,-6.043939000000011,TIME,2.0,0.023939
2018-12-26 15:00:00,2018-12-27 13:00:00,SPY,BUY,1,245.95,239.99,-7.984296999999979,StopLoss,2.0,0.024297
2018-12-27 15:00:00,2018-12-27 15:00:00,SPY,BUY,1,248.17,248.17,-2.024817,StopLoss,2.0,0.024817
2018-12-28 09:30:00,2018-12-31 11:00:00,SPY,BUY,1,249.46,248.72,-2.764909000000009,TIME,2.0,0.024909
2019-01-02 09:30:00,2019-01-03 11:00:00,SPY,SELL,1,247.18,247.12,-1.9647149999999978,TIME,2.0,0.024715
2019-01-03 15:00:00,2019-01-04 09:30:00,SPY,SELL,1,244.13,249.12,-7.014662500000009,StopLoss,2.0,0.0246625
2019-01-04 10:00:00,2019-01-07 11:00:00,SPY,BUY,1,251.03,255.4,2.3446785000000046,TakeProfit,2.0,0.0253215
