entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason
2005-12-20 14:00:00,2005-12-21 09:30:00,SPY,short,754,125.85,126.36,-384.54000000000383,StopLoss
2005-12-21 10:00:00,2005-12-21 14:00:00,SPY,short,708,126.63,125.87,538.0799999999936,TakeProfit
2005-12-21 15:00:00,2005-12-22 11:00:00,SPY,short,687,126.12,126.38,-178.61999999999375,StopLoss
2005-12-22 12:00:00,2005-12-23 09:30:00,SPY,short,735,126.37,126.74,-271.9499999999929,StopLoss
2005-12-23 10:00:00,2005-12-23 12:00:00,SPY,short,766,126.47,126.74,-206.81999999999695,CrossUp
2005-12-23 13:00:00,2005-12-27 11:00:00,SPY,long,1005,126.71,126.1,-613.0499999999994,StopLoss
2005-12-27 12:00:00,2005-12-27 13:00:00,SPY,long,915,126.01,125.61,-366.00000000000523,StopLoss
2005-12-27 14:00:00,2005-12-27 15:00:00,SPY,long,767,125.71,125.51,-153.39999999999128,CrossDown
2005-12-27 16:00:00,2005-12-27 16:00:00,SPY,short,685,125.52,125.52,-0.0,StopLoss
2005-12-28 09:30:00,2005-12-29 16:00:00,SPY,short,676,125.77,125.2,385.3199999999954,TakeProfit
2005-12-30 09:30:00,2006-01-03 09:30:00,SPY,short,873,124.87,125.13,-226.97999999999206,StopLoss
2006-01-03 10:00:00,2006-01-03 10:00:00,SPY,short,601,124.67,124.67,-0.0,StopLoss
2006-01-03 11:00:00,2006-01-03 14:00:00,SPY,short,579,124.99,126.16,-677.430000000001,StopLoss
2006-01-03 15:00:00,2006-01-03 16:00:00,SPY,short,461,126.75,126.68,32.269999999996855,TakeProfit
2006-01-04 09:30:00,2006-01-04 10:00:00,SPY,short,393,126.89,127.11,-86.45999999999955,CrossUp
2006-01-04 11:00:00,2006-01-04 14:00:00,SPY,long,365,127.41,127.02,-142.3500000000002,StopLoss
2006-01-04 15:00:00,2006-01-06 13:00:00,SPY,long,377,127.27,128.38,418.4699999999998,TakeProfit
2006-01-06 14:00:00,2006-01-09 12:00:00,SPY,long,570,128.43,128.79,205.19999999999158,StopLoss
2006-01-09 13:00:00,2006-01-10 09:30:00,SPY,long,425,128.95,128.4,-233.74999999999275,StopLoss
2006-01-10 10:00:00,2006-01-13 16:00:00,SPY,long,446,128.51,128.65,62.44000000000659,CrossDown
2006-01-17 09:30:00,2006-01-17 09:30:00,SPY,short,482,128.23,128.23,-0.0,TakeProfit
2006-01-17 10:00:00,2006-01-18 13:00:00,SPY,short,473,128.15,127.32,392.59000000000594,TakeProfit
2006-01-18 14:00:00,2006-01-19 09:30:00,SPY,short,418,127.46,128.02,-234.0800000000069,StopLoss
2006-01-19 10:00:00,2006-01-19 12:00:00,SPY,short,572,127.92,128.41,-280.2799999999971,StopLoss
2006-01-19 13:00:00,2006-01-20 10:00:00,SPY,short,558,128.71,127.49,680.7600000000073,TakeProfit
2006-01-20 11:00:00,2006-01-20 11:00:00,SPY,short,273,126.91,126.91,-0.0,StopLoss
2006-01-20 12:00:00,2006-01-26 16:00:00,SPY,short,275,126.88,127.36,-132.00000000000108,CrossUp
2006-01-27 09:30:00,2006-02-02 11:00:00,SPY,long,453,127.89,127.11,-353.3400000000005,StopLoss
2006-02-02 12:00:00,2006-02-02 13:00:00,SPY,long,444,127.16,127.1,-26.64000000000101,CrossDown
2006-02-02 14:00:00,2006-02-03 11:00:00,SPY,short,470,126.97,126.72,117.5,StopLoss
2006-02-03 12:00:00,2006-02-07 14:00:00,SPY,short,362,126.74,125.51,445.2599999999963,TakeProfit
2006-02-07 15:00:00,2006-02-08 09:30:00,SPY,short,604,125.57,125.68,-66.44000000000824,StopLoss
2006-02-08 10:00:00,2006-02-08 10:00:00,SPY,short,448,125.77,125.77,-0.0,StopLoss
2006-02-08 11:00:00,2006-02-08 15:00:00,SPY,short,449,125.92,126.63,-318.7899999999972,StopLoss
2006-02-08 16:00:00,2006-02-09 09:30:00,SPY,short,466,126.63,127.18,-256.3000000000053,StopLoss
2006-02-09 10:00:00,2006-02-13 12:00:00,SPY,short,451,127.29,126.52,347.27000000000464,CrossUp
2006-02-13 13:00:00,2006-02-14 11:00:00,SPY,long,521,126.12,127.48,708.5599999999997,TakeProfit
2006-02-14 12:00:00,2006-02-15 10:00:00,SPY,long,599,127.32,127.94,371.3800000000027,TakeProfit
2006-02-15 11:00:00,2006-02-15 12:00:00,SPY,long,550,127.84,127.53,-170.50000000000125,StopLoss
2006-02-15 13:00:00,2006-02-15 13:00:00,SPY,long,524,127.98,127.98,0.0,StopLoss
2006-02-15 14:00:00,2006-02-15 15:00:00,SPY,long,497,128.16,128.14,-9.940000000005085,StopLoss
2006-02-15 16:00:00,2006-02-16 16:00:00,SPY,long,485,128.16,129.14,475.29999999999507,TakeProfit
2006-02-17 09:30:00,2006-02-17 09:30:00,SPY,long,520,128.9,128.9,0.0,TakeProfit
2006-02-17 10:00:00,2006-02-22 15:00:00,SPY,long,541,128.72,129.43,384.11000000000433,TakeProfit
2006-02-22 16:00:00,2006-02-23 09:30:00,SPY,long,726,129.25,128.88,-268.6200000000033,StopLoss
2006-02-23 10:00:00,2006-02-23 10:00:00,SPY,long,687,129.18,129.18,0.0,StopLoss
2006-02-23 11:00:00,2006-02-24 10:00:00,SPY,long,679,129.17,128.92,-169.75,StopLoss
2006-02-24 11:00:00,2006-02-27 10:00:00,SPY,long,640,129.07,129.55,307.20000000001164,TakeProfit
2006-02-27 11:00:00,2006-02-28 09:30:00,SPY,long,667,129.84,129.24,-400.1999999999962,StopLoss
2006-02-28 10:00:00,2006-02-28 10:00:00,SPY,long,669,128.36,128.36,0.0,TakeProfit
2006-02-28 11:00:00,2006-02-28 11:00:00,SPY,long,587,128.43,128.43,0.0,TakeProfit
2006-02-28 12:00:00,2006-02-28 14:00:00,SPY,long,594,128.38,128.31,-41.57999999999595,CrossDown
2006-02-28 15:00:00,2006-02-28 15:00:00,SPY,short,496,128.26,128.26,-0.0,StopLoss
2006-02-28 16:00:00,2006-03-01 09:30:00,SPY,short,504,128.27,128.77,-252.0,StopLoss
2006-03-01 10:00:00,2006-03-01 14:00:00,SPY,short,470,128.82,129.25,-202.1000000000032,StopLoss
2006-03-01 15:00:00,2006-03-03 13:00:00,SPY,short,471,129.39,129.88,-230.79000000000428,CrossUp
2006-03-03 14:00:00,2006-03-03 15:00:00,SPY,long,492,129.81,128.99,-403.43999999999664,StopLoss
2006-03-03 16:00:00,2006-03-06 13:00:00,SPY,long,493,128.81,128.36,-221.8499999999944,StopLoss
2006-03-06 14:00:00,2006-03-07 11:00:00,SPY,short,444,128.01,127.89,53.27999999999571,StopLoss
