date,open,high,low,close,volume
2025-02-28 15:50:00,590.7,592.63,590.61,592.6,23902
2025-02-28 15:55:00,592.59,594.72,592.58,594.07,62304
2025-03-03 09:30:00,596.18,597.34,595.62,596.88,14749
2025-03-03 09:35:00,596.87,597.04,595.11,595.29,7630
2025-03-03 09:40:00,595.28,595.74,594.65,594.86,5587
2025-03-03 09:45:00,594.84,595.65,594.07,594.27,5661
2025-03-03 09:50:00,594.26,594.63,593.73,593.96,7471
2025-03-03 09:55:00,593.99,594.12,592.44,593.05,9067
2025-03-03 10:00:00,592.67,593.0,590.71,592.83,16206
2025-03-03 10:05:00,592.83,593.44,591.77,591.91,6935
2025-03-03 10:10:00,591.91,593.19,591.63,591.94,5383
2025-03-03 10:15:00,591.88,592.4,591.46,592.14,4358
2025-03-03 10:20:00,592.11,593.85,591.99,593.17,4478
2025-03-03 10:25:00,593.15,594.12,593.04,594.12,3059
2025-03-03 10:30:00,594.09,594.63,593.46,594.01,5376
2025-03-03 10:35:00,594.0,594.09,592.67,593.69,2923
2025-03-03 10:40:00,593.66,595.13,593.18,595.11,3855
2025-03-03 10:45:00,595.06,595.06,593.03,593.34,3579
2025-03-03 10:50:00,593.38,594.15,593.11,593.85,1856
2025-03-03 10:55:00,593.87,594.02,592.22,592.42,4316
2025-03-03 11:00:00,592.41,593.38,592.41,593.1,2303
2025-03-03 11:05:00,593.13,593.58,592.68,592.96,1953
2025-03-03 11:10:00,592.98,593.53,592.28,593.25,2938
2025-03-03 11:15:00,593.27,593.75,592.85,593.66,3946
2025-03-03 11:20:00,593.63,594.55,593.46,594.41,3812
2025-03-03 11:25:00,594.4,594.41,592.39,592.4,4190
2025-03-03 11:30:00,592.43,592.82,592.21,592.3,4157
2025-03-03 11:35:00,592.27,592.74,591.45,591.68,4169
2025-03-03 11:40:00,591.69,591.86,591.17,591.34,3030
2025-03-03 11:45:00,591.31,592.66,591.25,592.61,2984
2025-03-03 11:50:00,592.6,593.3,592.49,592.99,1986
2025-03-03 11:55:00,593.02,593.43,592.89,593.06,2085
2025-03-03 12:00:00,593.04,593.21,592.7,593.08,1559
2025-03-03 12:05:00,593.04,593.74,592.98,593.2,2081
2025-03-03 12:10:00,593.24,593.82,593.21,593.58,1048
2025-03-03 12:15:00,593.66,594.13,593.27,594.0,3147
2025-03-03 12:20:00,594.0,594.15,593.74,593.91,1606
2025-03-03 12:25:00,593.89,594.12,593.47,593.81,1015
2025-03-03 12:30:00,593.8,593.98,593.34,593.5,1029
2025-03-03 12:35:00,593.46,593.81,593.13,593.73,1707
2025-03-03 12:40:00,593.72,594.22,593.56,593.63,1013
2025-03-03 12:45:00,593.64,593.64,592.7,593.26,1772
2025-03-03 12:50:00,593.25,593.33,592.27,592.31,1438
2025-03-03 12:55:00,592.28,592.43,591.42,592.01,3127
2025-03-03 13:00:00,592.01,592.13,591.33,591.41,3125
2025-03-03 13:05:00,591.42,591.42,589.81,589.96,6039
